age,id,workclass,education,marital-status,occupation,relationship,race,sex,native-country,target
46,tr53, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, <=50K
35,tr54, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, Puerto-Rico, <=50K
41,tr55, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
30,tr56, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
30,tr57, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
32,tr58, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White, Male, ?, <=50K
48,tr59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
42,tr60, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
29,tr61, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male, United-States, <=50K
36,tr62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
28,tr63, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
53,tr64, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
49,tr65, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
25,tr66, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
19,tr67, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
31,tr68, Private, Bachelors, Separated, Sales, Own-child, Black, Female, United-States, <=50K
29,tr69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
23,tr70, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
79,tr71, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, <=50K
27,tr72, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
40,tr73, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
67,tr74, ?, 10th, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
18,tr75, Private, 11th, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
18,tr76, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
52,tr77, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male, Cuba, <=50K
46,tr78, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
59,tr79, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
44,tr80, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female, United-States, >50K
53,tr81, Private, HS-grad, Divorced, Sales, Own-child, White, Female, United-States, <=50K
49,tr82, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
33,tr83, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
30,tr84, Private, 9th, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
43,tr85, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
57,tr86, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
37,tr87, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female, United-States, <=50K
28,tr88, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
30,tr89, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, ?, <=50K
34,tr90, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
29,tr91, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
37,tr92, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
48,tr93, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female, England, <=50K
32,tr94, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
76,tr95, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
44,tr96, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
47,tr97, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
20,tr98, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
29,tr99, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
17,tr100, ?, 10th, Never-married, ?, Own-child, White, Female, United-States, <=50K
30,tr101, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
31,tr102, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
42,tr103, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
24,tr104, Private, Bachelors, Never-married, Sales, Other-relative, White, Male, United-States, <=50K
56,tr105, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Canada, >50K
28,tr106, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female, United-States, <=50K
36,tr107, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
49,tr108, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, >50K
55,tr109, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
22,tr110, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
21,tr111, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
40,tr112, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
30,tr113, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male, Germany, <=50K
29,tr114, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
19,tr115, Private, Some-college, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
47,tr116, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
20,tr117, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
31,tr118, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
35,tr119, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
39,tr120, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
28,tr121, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
24,tr122, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
38,tr123, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
37,tr124, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
46,tr125, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female, United-States, <=50K
38,tr126, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, Iran, >50K
43,tr127, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
27,tr128, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
20,tr129, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
49,tr130, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, >50K
61,tr131, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
27,tr132, Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States, <=50K
19,tr133, Private, Some-college, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
45,tr134, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
70,tr135, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male, United-States, <=50K
31,tr136, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female, United-States, <=50K
22,tr137, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
36,tr138, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female, United-States, <=50K
64,tr139, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
43,tr140, ?, Some-college, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
47,tr141, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, Mexico, <=50K
34,tr142, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
33,tr143, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, Philippines, <=50K
21,tr144, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
52,tr145, ?, HS-grad, Divorced, ?, Not-in-family, White, Male, United-States, >50K
48,tr146, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
23,tr147, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
71,tr148, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male, United-States, <=50K
29,tr149, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
42,tr150, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male, United-States, <=50K
68,tr151, ?, 1st-4th, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
25,tr152, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
44,tr153, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female, United-States, <=50K
28,tr154, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, England, <=50K
45,tr155, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
36,tr156, Private, Some-college, Divorced, Other-service, Unmarried, White, Female, Mexico, <=50K
39,tr157, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
46,tr158, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male, United-States, <=50K
18,tr159, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
66,tr160, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
27,tr161, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
28,tr162, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
27,tr163, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
28,tr164, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
27,tr165, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female, United-States, <=50K
21,tr166, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male, United-States, <=50K
34,tr167, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male, United-States, <=50K
18,tr168, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
33,tr169, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
44,tr170, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
30,tr171, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male, United-States, <=50K
40,tr172, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, >50K
37,tr173, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
34,tr174, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
41,tr175, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
53,tr176, ?, Bachelors, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
31,tr177, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, <=50K
58,tr178, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
38,tr179, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female, United-States, <=50K
24,tr180, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
41,tr181, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, <=50K
47,tr182, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
41,tr183, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
23,tr184, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male, Mexico, <=50K
36,tr185, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
40,tr186, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, >50K
35,tr187, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, >50K
24,tr188, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
26,tr189, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
19,tr190, ?, HS-grad, Never-married, ?, Own-child, White, Male, Italy, <=50K
51,tr191, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
42,tr192, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
37,tr193, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
18,tr194, Private, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
36,tr195, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, >50K
35,tr196, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
58,tr197, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
17,tr198, Private, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
44,tr199, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States, <=50K
37,tr200, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
35,tr201, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K
60,tr202, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, <=50K
54,tr203, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
37,tr204, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male, United-States, >50K
50,tr205, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female, United-States, <=50K
38,tr206, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, Poland, <=50K
45,tr207, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
25,tr208, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
31,tr209, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
64,tr210, ?, 1st-4th, Divorced, ?, Not-in-family, White, Male, United-States, <=50K
90,tr211, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male, United-States, <=50K
54,tr212, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
53,tr213, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
18,tr214, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States, <=50K
60,tr215, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K
66,tr216, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
75,tr217, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female, Columbia, <=50K
65,tr218, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
35,tr219, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male, United-States, <=50K
41,tr220, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female, United-States, <=50K
25,tr221, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
33,tr222, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female, United-States, <=50K
40,tr223, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
41,tr224, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, Iran, >50K
38,tr225, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
23,tr226, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male, United-States, <=50K
40,tr227, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
41,tr228, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
24,tr229, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
20,tr230, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
38,tr231, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
56,tr232, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?, <=50K
58,tr233, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
32,tr234, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
45,tr235, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?, <=50K
41,tr236, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
42,tr237, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States, <=50K
59,tr238, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female, United-States, <=50K
19,tr239, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
58,tr240, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
42,tr241, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, Cambodia, >50K
20,tr242, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
32,tr243, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female, United-States, <=50K
50,tr244, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
36,tr245, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
45,tr246, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
17,tr247, Private, 11th, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
59,tr248, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
26,tr249, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
37,tr250, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Thailand, >50K
19,tr251, ?, Some-college, Never-married, ?, Own-child, White, Male, Canada, <=50K
64,tr252, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
33,tr253, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
33,tr254, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States, >50K
61,tr255, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
17,tr256, Private, 9th, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
50,tr257, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
27,tr258, Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
30,tr259, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
43,tr260, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States, <=50K
44,tr261, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
35,tr262, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
25,tr263, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
24,tr264, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, >50K
42,tr265, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
34,tr266, Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female, United-States, <=50K
60,tr267, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
21,tr268, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
57,tr269, Federal-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
41,tr270, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
50,tr271, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
25,tr272, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
50,tr273, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male, Ecuador, <=50K
36,tr274, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
31,tr275, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
29,tr276, Local-gov, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
21,tr277, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
27,tr278, Private, Bachelors, Never-married, Tech-support, Unmarried, Black, Female, United-States, <=50K
65,tr279, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
39,tr280, ?, Masters, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female, ?, <=50K
