id,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
tr74,67,212759,6,0,0,2
tr75,18,309634,7,0,0,22
tr76,18,446839,9,0,0,30
tr77,52,276515,13,0,0,40
tr78,46,51618,9,0,0,40
tr79,59,159937,9,0,0,48
tr80,44,343591,9,14344,0,40
tr81,53,346253,9,0,0,35
tr82,49,268234,9,0,0,40
tr83,33,202051,14,0,0,50
tr84,30,54334,5,0,0,40
tr85,43,410867,16,0,0,50
tr86,57,249977,11,0,0,40
tr87,37,286730,10,0,0,40
tr88,28,212563,10,0,0,25
tr89,30,117747,9,0,1573,35
tr90,34,226296,13,0,0,40
tr91,29,115585,10,0,0,50
tr92,37,202683,10,0,0,48
tr93,48,171095,12,0,0,40
tr94,32,249409,9,0,0,40
tr95,76,124191,14,0,0,40
tr96,44,198282,13,15024,0,60
tr97,47,149116,14,0,0,50
tr98,20,188300,10,0,0,40
tr99,29,103432,9,0,0,40
tr100,17,304873,6,34095,0,32
tr101,30,194901,7,0,0,40
tr102,31,189265,9,0,0,40
tr103,42,124692,9,0,0,40
tr104,24,432376,13,0,0,40
tr105,56,335605,9,0,1887,50
tr106,28,377869,10,4064,0,25
tr107,36,102864,9,0,0,40
tr108,49,197371,11,0,0,40
tr109,55,247552,10,0,0,56
tr110,22,102632,9,0,0,41
tr111,21,199915,10,0,0,40
tr112,40,118853,13,0,0,60
tr113,30,77143,13,0,0,40
tr114,29,267989,13,0,0,50
tr115,19,301606,10,0,0,35
tr116,47,287828,13,0,0,40
tr117,20,111697,10,0,1719,28
tr118,31,114937,12,0,0,40
tr119,35,129305,9,0,0,40
tr120,39,365739,10,0,0,40
tr121,28,69621,12,0,0,60
tr122,24,43323,9,0,1762,40
tr123,38,120985,9,4386,0,35
tr124,37,254202,13,0,0,50
tr125,46,146195,12,0,0,36
tr126,38,125933,14,0,0,40
tr127,43,56920,9,0,0,60
tr128,27,163127,11,0,0,35
tr129,20,34310,10,0,0,20
tr130,49,81973,10,0,0,40
tr131,61,66614,9,0,0,40
tr132,27,232782,10,0,0,40
tr133,19,316868,10,0,0,30
tr134,45,196584,11,0,1564,40
tr135,70,105376,10,0,0,40
tr136,31,185814,9,0,0,30
tr137,22,175374,10,0,0,24
tr138,36,108293,9,0,0,24
tr139,64,181232,7,0,2179,40
tr140,43,174662,10,0,0,40
tr141,47,186009,10,0,0,38
tr142,34,198183,9,0,0,40
tr143,33,163003,13,0,0,40
tr144,21,296158,9,0,0,35
tr145,52,252903,9,0,0,45
tr146,48,187715,9,0,0,46
tr147,23,214542,13,0,0,40
tr148,71,494223,10,0,1816,2
tr149,29,191535,9,0,0,60
tr150,42,228456,13,0,0,50
tr151,68,38317,2,0,0,20
tr152,25,252752,9,0,0,40
tr153,44,78374,14,0,0,40
tr154,28,88419,9,0,0,40
tr155,45,201080,14,0,0,40
tr156,36,207157,10,0,0,40
tr157,39,235485,12,0,0,42
tr158,46,102628,14,0,0,40
tr159,18,25828,7,0,0,16
tr160,66,54826,11,0,0,20
tr161,27,124953,9,0,1980,40
tr162,28,175325,9,0,0,40
tr163,27,428030,13,0,0,50
tr164,28,149624,13,0,0,40
tr165,27,253814,9,0,0,25
tr166,21,312956,9,0,0,40
tr167,34,483777,9,0,0,40
tr168,18,183930,9,0,0,12
tr169,33,37274,13,0,0,65
tr170,44,181344,10,0,0,38
tr171,30,633742,10,0,0,45
tr172,40,286370,4,0,0,40
tr173,37,29054,10,0,0,42
tr174,34,304030,9,0,0,40
tr175,41,143129,13,0,0,40
tr176,53,135105,13,0,0,50
tr177,31,99928,14,0,0,50
tr178,58,109567,16,0,0,1
tr179,38,155222,10,0,0,28
tr180,24,159567,10,0,0,40
tr181,41,523910,13,0,0,40
tr182,47,120939,10,0,0,45
tr183,41,130760,13,0,0,24
tr184,23,197387,3,0,0,40
tr185,36,99374,10,0,0,40
tr186,40,56795,14,14084,0,55
tr187,35,138992,14,7298,0,40
tr188,24,32921,9,0,0,40
tr189,26,397317,14,0,1876,40
tr190,19,170653,9,0,0,40
tr191,51,259323,13,0,0,50
tr192,42,254817,10,0,1340,40
tr193,37,48211,9,0,0,35
tr194,18,140164,7,0,0,40
tr195,36,128757,13,7298,0,36
tr196,35,36270,9,0,0,60
tr197,58,210563,9,15024,0,35
tr198,17,65368,7,0,0,12
tr199,44,160943,9,0,0,40
tr200,37,208358,9,0,0,40
tr201,35,153790,10,0,0,40
tr202,60,85815,9,0,0,40
tr203,54,125417,4,0,0,40
tr204,37,635913,13,0,0,60
tr205,50,313321,12,0,0,40
tr206,38,182609,13,0,0,50
tr207,45,109434,13,0,0,55
tr208,25,255004,6,0,0,40
tr209,31,197860,10,0,0,40
tr210,64,187656,2,0,0,40
tr211,90,51744,9,0,2206,40
tr212,54,176681,9,0,0,20
tr213,53,140359,1,0,0,35
tr214,18,243313,9,0,0,40
tr215,60,24215,6,0,0,10
tr216,66,167687,9,1409,0,50
tr217,75,314209,11,0,0,20
tr218,65,176796,9,0,0,40
tr219,35,538583,7,3674,0,40
tr220,41,130408,9,0,0,38
tr221,25,159732,10,0,0,42
tr222,33,110978,10,0,0,40
tr223,40,170525,10,0,0,38
tr224,41,180138,13,0,0,50
tr225,38,115076,14,0,0,70
tr226,23,115458,9,0,0,40
tr227,40,347890,13,0,0,40
tr228,41,196001,9,0,0,20
tr229,24,273905,12,0,0,50
tr230,20,119156,10,0,0,20
tr231,38,179488,10,0,1741,40
tr232,56,203580,9,0,0,35
tr233,58,236596,9,0,0,45
tr234,32,183916,9,0,0,34
tr235,45,153141,9,0,0,40
tr236,41,112763,15,0,0,40
tr237,42,390781,13,0,0,40
tr238,59,171328,6,0,0,30
tr239,19,27382,10,0,0,40
tr240,58,259014,10,0,0,20
tr241,42,303044,9,0,0,40
tr242,20,117789,9,0,0,40
tr243,32,172579,9,0,0,30
tr244,50,204518,4,0,0,40
tr245,36,150042,13,0,0,40
tr246,45,98092,9,0,0,60
tr247,17,245918,7,0,0,12
tr248,59,146013,10,4064,0,40
tr249,26,378322,7,0,0,40
tr250,37,257295,10,0,0,75
tr251,19,218956,10,0,0,24
tr252,64,21174,9,0,0,40
tr253,33,185480,13,0,0,45
tr254,33,222205,9,0,0,40
tr255,61,69867,9,0,0,40
tr256,17,191260,5,1055,0,24
tr257,50,30653,14,2407,0,98
tr258,27,209109,14,0,0,35
tr259,30,70377,9,0,0,40
tr260,43,477983,9,0,0,40
tr261,44,170924,10,7298,0,40
tr262,35,190174,10,0,0,40
tr263,25,193787,10,0,0,40
tr264,24,279472,10,7298,0,48
tr265,42,97688,10,5178,0,40
tr266,34,175413,12,0,0,45
tr267,60,173960,13,0,0,42
tr268,21,205759,9,0,0,40
tr269,57,425161,14,15024,0,40
tr270,41,220531,15,0,0,60
tr271,50,176609,10,0,0,45
tr272,25,371987,13,0,0,40
tr273,50,193884,4,0,0,40
tr274,36,200352,13,0,0,45
tr275,31,127595,9,0,0,40
tr276,29,220419,13,0,0,56
tr277,21,231931,10,0,0,45
tr278,27,248402,13,0,0,40
tr279,65,111095,9,0,0,16
tr280,39,157443,14,3464,0,40
tr281,24,278130,9,0,0,40
tr282,38,169469,9,0,0,80
tr283,48,146268,13,7688,0,40
tr284,21,153718,10,0,0,25
tr285,31,217460,9,0,0,45
tr286,55,238638,9,4386,0,40
tr287,24,303296,10,0,0,40
tr288,43,173321,9,0,0,40
tr289,26,193945,12,0,0,45
tr290,46,83082,12,0,0,33
tr291,41,34987,10,0,0,54
tr292,34,142897,14,7298,0,35
tr293,19,860348,10,0,0,25
tr294,22,199698,10,0,0,15
tr295,24,191954,10,0,0,40
tr296,22,399087,3,0,0,40
tr297,29,423158,10,0,0,40
tr298,62,159841,9,0,0,24
tr299,39,174308,9,0,0,40
tr300,43,50356,10,0,1485,50
tr301,35,186110,9,0,0,45
tr302,29,200381,7,0,0,40
tr303,76,174309,14,0,0,10
tr304,63,78383,9,0,0,45
tr305,23,211601,11,0,0,15
tr306,43,187728,10,0,1887,50
tr307,58,321171,9,0,0,40
tr308,66,127921,9,2050,0,55
tr309,41,206565,10,0,0,45
tr310,26,224563,13,0,0,40
tr311,47,178686,11,0,0,40
tr312,55,98545,6,0,0,40
tr313,53,242606,9,0,0,40
tr314,17,270942,3,0,0,48
tr315,30,94235,9,0,0,40
tr316,49,71195,14,0,0,60
tr317,19,104112,9,0,0,30
tr318,45,261192,9,0,0,40
tr319,26,94936,12,0,0,40
tr320,38,296478,11,7298,0,40
tr321,36,119272,9,7298,0,40
tr322,33,85043,9,0,0,20
tr323,22,293364,10,0,0,40
tr324,43,241895,13,0,0,42
tr325,67,36135,7,0,0,8
tr326,30,151989,11,0,0,40
tr327,56,101128,12,0,0,25
tr328,31,156464,13,0,0,25
tr329,33,117963,13,0,0,40
tr330,26,192262,9,0,0,40
tr331,33,111363,13,0,0,40
tr332,46,329752,7,0,0,30
tr333,59,372020,13,0,0,40
tr334,38,95432,9,0,0,40
tr335,65,161400,7,0,0,40
tr336,40,96129,11,0,0,40
tr337,42,111949,9,0,0,35
tr338,26,117125,5,0,0,40
tr339,36,348022,6,0,0,24
tr340,62,270092,14,0,0,40
tr341,43,180609,13,0,0,45
tr342,43,174575,13,0,1564,45
tr343,22,410439,9,0,0,55
tr344,28,92262,9,0,0,40
tr345,56,183081,10,0,0,45
tr346,22,362589,12,0,0,15
tr347,57,212448,13,0,0,45
tr348,39,481060,9,0,0,40
tr349,26,185885,10,0,0,15
tr350,17,89821,7,0,0,10
tr351,40,184018,11,0,0,38
tr352,45,256649,9,0,0,40
tr353,44,160323,9,0,0,40
tr354,20,350845,10,0,0,10
tr355,33,267404,9,0,0,40
tr356,23,35633,10,0,0,40
tr357,46,80914,14,0,0,30
tr358,38,172927,9,0,0,50
tr359,54,174319,9,0,0,40
tr360,46,214955,3,0,2339,45
tr361,25,344991,10,0,0,40
tr362,46,108699,10,0,0,40
tr363,36,117312,10,0,0,40
tr364,23,396099,9,0,0,25
tr365,29,134152,9,0,0,40
tr366,44,162028,10,0,2415,6
tr367,19,25429,10,0,0,16
tr368,19,232392,9,0,0,40
tr369,35,220098,9,0,0,40
tr370,27,301302,13,0,0,50
tr371,46,277946,12,0,0,40
tr372,34,98101,13,7688,0,45
tr373,34,196164,9,0,0,35
tr374,44,115562,10,0,0,40
tr375,45,96975,10,0,0,40
tr376,20,137300,9,0,0,35
tr377,25,86872,13,0,0,55
tr378,52,132178,13,0,0,50
tr379,20,416103,10,0,0,40
tr380,28,108574,10,0,0,40
tr381,50,288353,13,0,0,40
tr382,34,227689,11,0,0,64
tr383,28,166481,4,0,2179,40
tr384,41,445382,14,0,1977,65
tr385,28,110145,9,0,0,40
tr386,46,317253,9,0,0,25
tr387,28,123147,10,0,1887,40
tr388,32,364657,10,0,0,50
tr389,41,42346,10,0,0,24
tr390,24,241951,9,0,0,40
tr391,33,118500,10,0,0,40
tr392,46,188386,16,15024,0,60
tr393,31,1033222,10,0,0,40
tr394,35,92440,8,0,0,50
tr395,30,426017,7,0,0,19
tr396,34,243867,7,0,0,40
tr397,20,61777,10,0,0,30
tr398,17,175024,7,2176,0,18
tr399,32,92003,13,0,0,40
tr400,29,188401,9,0,0,40
tr401,33,228528,6,0,0,35
tr402,25,133373,9,0,0,60
tr403,36,255191,14,0,1408,40
tr404,23,204653,9,0,0,72
tr405,63,222289,9,0,0,40
tr406,47,287480,14,0,0,40
tr407,40,204116,13,2174,0,40
tr408,30,29662,12,0,0,25
tr409,27,116358,10,0,1980,40
tr410,33,208405,14,0,0,50
tr411,34,284843,9,594,0,60
tr412,34,117018,10,0,0,40
tr413,23,81281,10,0,0,40
tr414,42,340148,10,0,0,40
tr415,29,363425,13,0,0,40
tr416,45,45857,9,0,0,28
tr417,24,191073,9,0,0,40
tr418,44,116632,10,0,0,40
tr419,27,405855,5,0,0,40
tr420,20,298227,10,0,0,35
tr421,44,290521,9,0,0,40
tr422,51,56915,9,0,0,40
tr423,20,146538,9,0,0,40
tr424,17,258872,7,0,0,5
tr425,60,245062,9,0,0,40
tr426,42,197583,12,0,0,40
tr427,44,234885,9,0,0,40
tr428,40,72887,11,0,0,40
tr429,30,180374,9,0,0,40
tr430,38,351299,10,0,0,50
tr431,23,54012,9,0,0,60
tr432,32,115745,10,0,0,40
tr433,44,116632,12,0,0,40
tr434,54,288825,9,0,0,40
tr435,32,132601,13,0,0,50
tr436,50,193374,2,0,0,40
tr437,24,170070,13,0,0,20
tr438,37,126708,9,0,0,60
tr439,52,35598,9,0,0,40
tr440,38,33983,10,0,0,40
tr441,49,192776,14,0,1977,45
tr442,30,118551,13,0,0,16
tr443,60,201965,10,0,0,40
tr444,22,139883,10,0,0,40
tr445,30,303990,9,0,0,60
tr446,67,49401,11,0,0,24
tr447,46,279196,13,0,0,40
tr448,17,211870,5,0,0,6
tr449,22,281432,10,0,0,30
tr450,27,161155,6,0,0,40
tr451,23,197904,9,0,0,35
tr452,33,111746,12,0,0,45
tr453,43,170721,10,0,0,20
tr454,28,70100,13,0,0,20
tr455,41,193626,9,0,0,40
tr456,52,271749,8,594,0,40
tr457,25,189775,10,0,0,20
tr458,63,401531,2,0,0,35
tr459,59,286967,9,0,0,45
tr460,45,164427,13,0,0,40
tr461,38,91039,13,15024,0,60
tr462,40,347934,9,0,0,35
tr463,46,371373,9,0,0,40
tr464,35,32220,12,0,0,60
tr465,34,187251,9,0,0,25
tr466,33,178107,13,0,0,20
tr467,41,343121,9,0,0,36
tr468,20,262749,10,0,0,40
tr469,23,403107,3,0,0,40
tr470,26,64293,10,0,0,35
tr471,72,303588,9,0,0,20
tr472,23,324960,9,0,0,40
tr473,62,114060,9,0,0,40
tr474,52,48925,10,0,0,40
tr475,58,180980,10,0,0,42
tr476,24,388093,13,0,0,40
tr477,19,249609,10,0,0,8
tr478,43,112131,10,0,0,40
tr479,47,543162,9,0,0,40
tr480,39,91996,9,0,0,40
tr481,49,141944,11,0,1380,42
tr482,53,251804,3,0,0,30
tr483,32,37070,11,0,0,45
tr484,34,337587,10,0,0,50
tr485,28,189346,9,0,0,45
tr486,57,222216,11,0,0,38
tr487,25,267044,10,0,0,20
tr488,20,214635,10,0,0,24
tr489,21,204226,10,0,0,35
tr490,34,108116,13,0,0,50
tr491,50,196232,9,7688,0,50
tr492,24,248344,10,0,0,50
tr493,37,186035,10,0,0,45
tr494,44,177905,10,0,0,58
tr495,28,85812,10,0,0,40
tr496,42,221172,13,0,0,40
tr497,74,99183,10,0,0,9
tr498,38,190387,9,0,0,50
tr499,44,202692,14,0,0,40
tr500,44,109339,7,0,0,46
tr501,26,108658,9,0,0,40
tr502,36,197202,9,0,0,40
tr503,41,101739,12,0,0,50
tr504,67,231559,15,20051,0,48
tr505,39,207853,8,0,0,50
tr506,57,190942,2,0,0,30
tr507,29,102345,11,0,0,40
tr508,31,41493,13,0,0,45
tr509,34,190027,9,0,0,40
tr510,44,210525,10,0,0,40
tr511,29,133937,16,0,0,40
tr512,30,237903,10,0,0,40
tr513,27,163862,9,0,0,40
tr514,27,201872,10,0,0,50
tr515,32,84179,9,0,0,45
tr516,58,51662,6,0,0,8
tr517,35,233327,10,0,0,40
tr518,21,259510,9,0,0,36
tr519,28,184831,10,0,0,40
tr520,46,245724,10,0,0,50
tr521,36,27053,9,0,0,40
tr522,72,205343,7,0,0,40
tr523,35,229328,9,0,0,40
tr524,69,136218,7,0,0,40
tr525,35,54576,9,0,0,40
tr526,31,323069,9,0,0,20
tr527,34,148291,9,0,0,32
tr528,30,152453,7,0,0,40
tr529,28,114053,13,0,0,55
tr530,54,212960,13,0,0,35
tr531,47,264052,10,0,0,50
tr532,24,82804,9,0,0,40
tr533,52,334273,13,0,0,60
tr534,20,27337,9,0,0,48
tr535,43,188436,14,5013,0,45
tr536,45,433665,4,0,0,40
tr537,29,110663,9,0,0,35
tr538,47,87490,14,0,0,42
tr539,24,354351,9,0,0,40
tr540,51,95469,9,0,0,40
tr541,17,242718,7,0,0,12
tr542,37,22463,11,0,1977,40
tr543,27,158156,16,0,0,70
tr544,29,350162,13,0,0,40
tr545,18,165532,8,0,0,25
tr546,36,28738,12,0,0,35
tr547,58,283635,13,0,0,40
tr548,26,86646,10,0,0,45
tr549,65,195733,10,0,0,30
tr550,57,69884,9,0,0,40
tr551,59,199713,9,0,0,40
tr552,27,181659,9,0,0,40
tr553,31,340939,13,0,0,40
tr554,21,197747,10,0,0,24
tr555,29,34292,10,0,0,60
tr556,18,156764,7,0,0,40
tr557,52,25826,6,0,1887,47
tr558,57,103948,13,0,0,80
tr559,42,137390,9,0,0,40
tr560,55,105138,9,0,0,40
tr561,60,39352,4,0,0,48
tr562,31,168387,13,7688,0,40
tr563,23,117789,13,0,0,40
tr564,27,267147,9,0,0,40
tr565,23,99399,10,0,0,25
tr566,42,214242,15,0,1902,50
tr567,25,200408,10,2174,0,40
tr568,49,136455,13,0,0,45
tr569,32,239824,13,0,0,40
tr570,19,217039,10,0,0,28
tr571,60,51290,4,0,0,40
tr572,35,194404,12,0,0,40
tr573,48,45612,9,0,0,37
tr574,51,410114,14,0,0,40
tr575,29,182521,9,0,0,40
tr576,17,169658,6,0,0,21
tr577,52,200853,14,6849,0,60
tr578,24,247564,9,0,0,40
tr579,24,249909,9,0,0,50
tr580,26,208122,13,1055,0,40
tr581,27,109881,13,0,0,20
tr582,39,207824,9,0,0,60
tr583,30,369027,9,0,0,45
tr584,50,114117,9,0,0,32
tr585,52,51048,13,0,0,55
tr586,46,102388,15,15024,0,45
tr587,23,190483,13,0,0,20
tr588,45,462440,7,0,0,20
tr589,65,109351,5,0,0,24
tr590,47,241832,5,0,0,40
tr591,30,124187,9,0,0,60
tr592,34,153614,9,0,0,45
tr593,38,267556,9,0,0,64
tr594,33,205469,10,0,0,40
tr595,49,268090,13,0,0,26
tr596,47,165039,10,0,0,40
tr597,49,120451,6,0,0,40
tr598,43,154374,10,15024,0,60
tr599,30,103649,13,0,0,40
tr600,58,35723,9,0,0,60
tr601,19,262601,9,0,0,14
tr602,21,226181,13,0,0,40
tr603,33,175697,13,15024,0,60
tr604,47,248145,3,0,0,50
tr605,52,289436,16,0,0,60
tr606,26,75654,9,0,0,55
tr607,21,160968,10,0,0,40
tr608,36,188563,10,5178,0,50
tr609,31,55849,10,0,0,45
tr610,50,195322,16,0,0,40
tr611,31,402089,9,0,0,40
tr612,71,78277,9,0,0,15
tr613,58,158611,9,0,0,50
tr614,30,169496,13,0,0,40
tr615,20,130959,10,0,0,20
tr616,24,556660,9,4101,0,50
tr617,35,292472,16,0,0,40
tr618,38,143774,10,0,0,45
tr619,27,288341,9,0,0,32
tr620,29,71592,10,0,0,40
tr621,70,167358,5,1111,0,15
tr622,34,106742,9,0,0,45
tr623,44,219288,4,0,0,35
tr624,43,174524,9,0,0,40
tr625,44,335183,8,0,0,40
tr626,35,261293,14,0,0,60
tr627,27,111900,10,0,0,40
tr628,43,194360,14,0,0,38
tr629,20,81145,10,0,0,25
tr630,42,341204,12,8614,0,40
tr631,27,249362,10,3411,0,40
tr632,42,247019,9,0,0,40
tr633,20,114746,7,0,1762,40
tr634,24,172146,5,0,1721,40
tr635,48,110457,10,0,0,40
tr636,17,80077,7,0,0,20
tr637,17,368700,7,0,0,10
tr638,33,182556,13,0,0,40
tr639,50,219420,9,0,0,50
tr640,22,240817,9,2597,0,40
tr641,17,102726,8,0,0,16
tr642,32,226267,10,0,0,40
tr643,31,125457,9,0,0,45
tr644,58,204021,9,0,0,50
tr645,29,92262,9,0,0,48
tr646,37,161141,11,0,0,40
tr647,34,190290,9,0,0,40
tr648,23,430828,10,0,0,40
tr649,18,59342,7,0,0,5
tr650,34,136721,9,0,0,40
tr651,66,149422,4,0,0,4
tr652,45,86644,13,0,0,55
tr653,41,195124,14,0,0,35
tr654,26,167350,9,0,0,30
tr655,54,113000,10,0,0,40
tr656,24,140027,10,0,0,45
tr657,42,262425,10,0,0,50
tr658,20,316702,10,0,0,20
tr659,23,335453,13,0,0,20
tr660,25,202480,12,0,0,45
tr661,35,203628,14,0,0,60
tr662,31,118710,14,0,1902,40
tr663,30,189620,13,0,0,40
tr664,19,475028,9,0,0,20
tr665,36,110866,13,0,0,50
tr666,31,243605,13,0,1380,40
tr667,21,163870,10,0,0,30
tr668,31,80145,10,0,0,40
tr669,46,295566,16,25236,0,65
tr670,44,63042,13,0,0,50
tr671,40,229148,8,0,0,40
tr672,45,242552,10,0,0,40
tr673,60,177665,9,0,0,35
tr674,18,208103,7,0,0,25
tr675,36,70282,10,0,0,40
tr676,36,271767,13,0,0,40
tr677,40,144995,11,4386,0,40
tr678,36,382635,13,0,0,35
tr679,31,295697,9,0,0,40
tr680,33,194141,9,0,0,40
tr681,19,378418,9,0,0,40
tr682,22,214399,10,0,0,15
tr683,34,217460,13,0,0,45
tr684,33,182556,9,0,0,40
tr685,41,125831,9,0,2051,60
tr686,29,271328,13,4650,0,40
tr687,50,50459,9,0,0,42
tr688,42,162140,13,7298,0,45
tr689,43,177937,13,0,0,40
tr690,20,299047,10,0,0,20
tr691,31,223212,9,0,0,40
tr692,65,118474,7,9386,0,59
tr693,23,352139,10,0,0,24
tr694,26,181655,11,0,2377,45
tr695,25,332702,11,0,0,15
tr696,45,51164,10,0,0,40
tr697,35,234901,10,2407,0,40
tr698,36,131414,10,0,0,36
tr699,43,260960,13,0,0,50
tr700,56,156052,9,594,0,20
tr701,42,279914,13,0,0,40
tr702,19,192453,10,0,0,25
tr703,55,200939,9,0,0,72
tr704,42,151408,14,14084,0,50
tr705,26,112847,11,0,0,40
tr706,17,316929,8,0,0,20
tr707,42,126319,13,0,0,40
tr708,55,197422,9,7688,0,40
tr709,32,267736,10,0,0,40
tr710,29,267034,7,0,0,40
tr711,46,193047,13,0,0,37
tr712,29,356089,13,7688,0,40
tr713,22,223515,13,0,0,20
tr714,58,87510,6,0,0,40
tr715,23,145111,9,0,0,50
tr716,39,48093,9,0,0,40
tr717,27,31757,11,0,0,38
tr718,54,285854,9,0,0,40
tr719,33,120064,13,0,0,45
tr720,46,167381,9,0,0,40
tr721,37,103408,9,0,0,40
tr722,36,101460,9,0,0,18
tr723,59,420537,9,0,0,38
tr724,34,119411,9,0,0,40
tr725,53,128272,16,0,0,70
tr726,51,386773,13,0,0,55
tr727,32,283268,6,0,0,42
tr728,31,301526,10,0,0,40
tr729,22,151790,10,0,0,30
tr730,47,106252,13,0,0,50
tr731,32,188557,9,0,0,40
tr732,26,171114,10,0,0,38
tr733,37,327323,3,0,0,32
tr734,31,244147,9,0,0,55
tr735,37,280282,11,0,0,24
tr736,55,116442,9,0,0,38
tr737,23,282579,11,0,0,56
tr738,36,51838,10,0,0,40
tr739,34,73585,14,0,0,40
tr740,43,226902,13,0,0,50
tr741,54,279129,10,0,0,40
tr742,43,146908,10,0,0,40
tr743,28,196690,11,0,1669,42
tr744,40,130760,11,0,0,50
tr745,40,237601,13,0,0,55
tr746,61,36671,9,0,2352,50
tr747,18,231193,8,0,0,30
tr748,59,192130,9,0,0,16
tr749,21,149704,9,1055,0,40
tr750,48,102102,11,0,0,50
tr751,41,32185,13,0,0,40
tr752,18,196061,10,0,0,33
tr753,23,211046,9,2463,0,40
tr754,60,31577,9,0,0,60
tr755,22,162343,10,0,0,20
tr756,61,128831,9,0,0,40
tr757,25,316688,9,0,0,40
tr758,46,90758,14,0,0,35
tr759,43,274363,13,0,1902,40
tr760,43,154538,12,0,0,40
tr761,24,106085,9,0,1721,30
tr762,68,315859,7,0,0,20
tr763,31,51471,9,0,0,38
tr764,17,193830,7,0,0,20
tr765,32,231043,9,5178,0,48
tr766,50,23780,14,0,0,40
tr767,33,169879,13,3103,0,47
tr768,64,270333,13,0,0,40
tr769,20,138768,9,0,0,30
tr770,30,191571,9,0,0,36
tr771,43,94113,10,0,0,45
tr772,22,137510,10,0,0,40
tr773,17,32607,6,0,0,20
tr774,47,93208,9,0,0,75
tr775,41,254440,11,0,0,60
tr776,56,186556,10,0,0,50
tr777,64,169871,9,0,0,45
tr778,47,191277,9,0,0,50
tr779,48,167159,11,0,0,40
tr780,31,171871,14,0,0,46
tr781,29,154411,11,0,0,40
tr782,30,129227,9,0,0,40
tr783,32,110331,9,0,1672,60
tr784,57,34269,9,0,653,42
tr785,62,174355,9,0,0,40
tr786,39,680390,9,0,0,24
tr787,43,233130,10,0,0,25
tr788,24,165474,13,0,0,40
tr789,42,257780,7,0,0,15
tr790,53,194259,10,4386,0,40
tr791,26,280093,10,0,0,40
tr792,73,177387,9,0,0,40
tr793,72,28929,7,0,0,24
tr794,55,105304,9,0,0,40
tr795,25,499233,9,0,0,40
tr796,41,180572,13,0,0,50
tr797,24,321435,13,0,0,50
tr798,17,198124,7,0,0,20
tr799,35,135162,10,0,0,50
tr800,51,146813,10,0,0,40
tr801,62,291175,13,0,0,48
tr802,55,387569,9,4386,0,40
tr803,43,102895,10,0,0,40
tr804,40,33274,9,0,0,50
tr805,37,86551,13,0,0,45
tr806,39,138192,13,0,0,40
tr807,31,118966,9,0,0,18
tr808,61,99784,14,0,0,40
tr809,26,90980,11,0,0,55
tr810,46,177407,9,0,0,50
tr811,26,96467,13,0,0,40
tr812,48,327886,16,0,0,50
tr813,34,111567,9,0,0,40
