workclass,id,education,marital-status,occupation,relationship,race,sex,native-country,target
 Private,tr103, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
 Private,tr104, Bachelors, Never-married, Sales, Other-relative, White, Male, United-States, <=50K
 Self-emp-not-inc,tr105, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Canada, >50K
 Private,tr106, Some-college, Married-civ-spouse, Sales, Wife, White, Female, United-States, <=50K
 Private,tr107, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
 Local-gov,tr108, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, >50K
 Private,tr109, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr110, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private,tr111, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
 Private,tr112, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private,tr113, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male, Germany, <=50K
 State-gov,tr114, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr115, Some-college, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
 Private,tr116, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
 Private,tr117, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private,tr118, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 ?,tr119, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Private,tr120, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private,tr121, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
 Private,tr122, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 Self-emp-not-inc,tr123, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr124, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr125, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female, United-States, <=50K
 Federal-gov,tr126, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, Iran, >50K
 Self-emp-not-inc,tr127, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr128, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
 Private,tr129, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
 Private,tr130, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, >50K
 Self-emp-inc,tr131, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr132, Some-college, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Private,tr133, Some-college, Never-married, Other-service, Own-child, White, Male, Mexico, <=50K
 Private,tr134, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
 Private,tr135, Some-college, Never-married, Tech-support, Other-relative, White, Male, United-States, <=50K
 Private,tr136, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female, United-States, <=50K
 Private,tr137, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private,tr138, HS-grad, Widowed, Other-service, Unmarried, White, Female, United-States, <=50K
 Private,tr139, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 ?,tr140, Some-college, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
 Local-gov,tr141, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, Mexico, <=50K
 Private,tr142, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr143, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, Philippines, <=50K
 Private,tr144, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
 ?,tr145, HS-grad, Divorced, ?, Not-in-family, White, Male, United-States, >50K
 Private,tr146, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr147, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc,tr148, Some-college, Separated, Sales, Unmarried, Black, Male, United-States, <=50K
 Private,tr149, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private,tr150, Bachelors, Separated, Other-service, Other-relative, Black, Male, United-States, <=50K
 ?,tr151, 1st-4th, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
 Private,tr152, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
 Self-emp-inc,tr153, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female, United-States, <=50K
 Private,tr154, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, England, <=50K
 Self-emp-not-inc,tr155, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr156, Some-college, Divorced, Other-service, Unmarried, White, Female, Mexico, <=50K
 Federal-gov,tr157, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 State-gov,tr158, Masters, Widowed, Protective-serv, Unmarried, White, Male, United-States, <=50K
 Private,tr159, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Local-gov,tr160, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private,tr161, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
 State-gov,tr162, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
 Private,tr163, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 State-gov,tr164, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr165, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female, United-States, <=50K
 Private,tr166, HS-grad, Never-married, Craft-repair, Own-child, Black, Male, United-States, <=50K
 Private,tr167, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male, United-States, <=50K
 Private,tr168, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Private,tr169, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Local-gov,tr170, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
 Private,tr171, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male, United-States, <=50K
 Private,tr172, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, >50K
 Federal-gov,tr173, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Private,tr174, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
 Self-emp-not-inc,tr175, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
 ?,tr176, Bachelors, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
 Private,tr177, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, <=50K
 State-gov,tr178, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr179, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female, United-States, <=50K
 Private,tr180, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Local-gov,tr181, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, <=50K
 Private,tr182, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
 Federal-gov,tr183, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
 Private,tr184, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male, Mexico, <=50K
 Private,tr185, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Federal-gov,tr186, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, >50K
 Private,tr187, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, United-States, >50K
 Self-emp-not-inc,tr188, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 Private,tr189, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 ?,tr190, HS-grad, Never-married, ?, Own-child, White, Male, Italy, <=50K
 Private,tr191, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Local-gov,tr192, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 State-gov,tr193, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private,tr194, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Private,tr195, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, >50K
 Private,tr196, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Self-emp-inc,tr197, HS-grad, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
 Private,tr198, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Local-gov,tr199, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States, <=50K
 Private,tr200, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr201, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private,tr202, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, <=50K
 Self-emp-inc,tr203, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
 Private,tr204, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male, United-States, >50K
 Private,tr205, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female, United-States, <=50K
 Private,tr206, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, Poland, <=50K
 Private,tr207, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr208, 10th, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private,tr209, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
 ?,tr210, 1st-4th, Divorced, ?, Not-in-family, White, Male, United-States, <=50K
 Private,tr211, HS-grad, Never-married, Other-service, Not-in-family, Black, Male, United-States, <=50K
 Private,tr212, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, <=50K
 Local-gov,tr213, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
 Private,tr214, HS-grad, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 ?,tr215, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K
 Self-emp-not-inc,tr216, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Private,tr217, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female, Columbia, <=50K
 Private,tr218, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr219, 11th, Separated, Transport-moving, Not-in-family, Black, Male, United-States, <=50K
 Private,tr220, HS-grad, Divorced, Sales, Unmarried, Black, Female, United-States, <=50K
 Private,tr221, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Private,tr222, Some-college, Divorced, Craft-repair, Other-relative, Other, Female, United-States, <=50K
 State-gov,tr223, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr224, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, Iran, >50K
 Local-gov,tr225, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr226, HS-grad, Never-married, Transport-moving, Own-child, White, Male, United-States, <=50K
 Private,tr227, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Self-emp-not-inc,tr228, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 State-gov,tr229, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
 ?,tr230, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
 Private,tr231, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private,tr232, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?, <=50K
 Private,tr233, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Private,tr234, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private,tr235, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?, <=50K
 Private,tr236, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
 Private,tr237, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States, <=50K
 Local-gov,tr238, 10th, Widowed, Other-service, Unmarried, Black, Female, United-States, <=50K
 Local-gov,tr239, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 Private,tr240, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc,tr241, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, Cambodia, >50K
 Private,tr242, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
 Private,tr243, HS-grad, Separated, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private,tr244, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private,tr245, Bachelors, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
 Private,tr246, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr247, 11th, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Private,tr248, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr249, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-inc,tr250, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Thailand, >50K
 ?,tr251, Some-college, Never-married, ?, Own-child, White, Male, Canada, <=50K
 Private,tr252, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr253, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private,tr254, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States, >50K
 Private,tr255, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr256, 9th, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Self-emp-not-inc,tr257, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Local-gov,tr258, Masters, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
 Private,tr259, HS-grad, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
 Private,tr260, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States, <=50K
 Private,tr261, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr262, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
 Private,tr263, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
 Private,tr264, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, >50K
 Local-gov,tr265, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr266, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female, United-States, <=50K
 Private,tr267, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private,tr268, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Federal-gov,tr269, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr270, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr271, Some-college, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
 Private,tr272, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
 Private,tr273, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male, Ecuador, <=50K
 Private,tr274, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr275, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Local-gov,tr276, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male, United-States, <=50K
 Private,tr277, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
 Private,tr278, Bachelors, Never-married, Tech-support, Unmarried, Black, Female, United-States, <=50K
 Private,tr279, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 ?,tr280, Masters, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female, ?, <=50K
 Private,tr281, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
 Private,tr282, HS-grad, Divorced, Sales, Not-in-family, White, Male, United-States, <=50K
 Private,tr283, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Private,tr284, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, United-States, <=50K
 Private,tr285, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
 Private,tr286, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
